ℹ️ [INFO] ۱۴۰۴/۰۲/۱۸, ۱۷:۱۱:۳۵ | Banner created: ارسال رایگان
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۱:۱۱ | Verification code for ali2006@gmail.com: 678212
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۱:۱۱ | Auth processed for: ali2006@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۱:۱۱ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۲۳ | User verified: ali2006@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۲۳ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۵۸ | Login attempt for existing user: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۵۹ | Error sending email to superadmin@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad2197be6d7sm135082466b.157 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۵۹ | Failed to send verification email to superadmin@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۵۹ | Verification code for superadmin@gmail.com: 282006
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۵۹ | Auth processed for: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۲:۵۹ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۳:۲۶ | User verified: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۳:۲۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۶:۳۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۰۹:۱۸ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۰۳ | Login attempt for existing user: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۰۴ | Error sending email to superadmin@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad2197bd2c0sm136495166b.130 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۰۴ | Failed to send verification email to superadmin@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۰۴ | Verification code for superadmin@gmail.com: 374071
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۰۴ | Auth processed for: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۰۴ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۳۵ | User verified: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۱:۳۵ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۴:۳۲ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۷:۵۵ | Login attempt for existing user: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۷:۵۶ | Error sending email to superadmin@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad22c563e34sm6362766b.137 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۷:۵۶ | Failed to send verification email to superadmin@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۷:۵۶ | Verification code for superadmin@gmail.com: 565699
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۷:۵۶ | Auth processed for: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۷:۵۶ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۸:۲۱ | User verified: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۸:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۱۹:۰۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۰:۴۵ | Auth middleware error: invalid signature
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۰:۴۵ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۰۴ | Login attempt for existing user: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۰۵ | Error sending email to superadmin@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad2192c9bc0sm138634466b.30 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۰۵ | Failed to send verification email to superadmin@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۰۵ | Verification code for superadmin@gmail.com: 303780
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۰۵ | Auth processed for: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۰۵ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۳۷ | User verified: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۳۷ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۵۷ | Report created by 681de73a8121e2c57c3bdb1a against 681de77f8121e2c57c3bdb24
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۵۷ | Report created: 681dec5d11fd38a14102151a
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۱:۵۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۴:۴۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۴:۵۷ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۵:۲۸ | User ali2006@gmail.com banned by super admin superadmin@gmail.com
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۵:۲۸ | User banned: 681de77f8121e2c57c3bdb24
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۵:۲۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۵:۵۱ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۸:۱۷ | User ali2006@gmail.com unbanned by super admin superadmin@gmail.com
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۸:۱۷ | User unbanned: 681de77f8121e2c57c3bdb24
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۲۸:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۵۵:۵۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۵۶:۱۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۵۶:۳۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۱۵:۵۶:۳۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۴:۳۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۴:۳۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۸:۰۵ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۸:۴۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۸:۴۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۸:۵۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۸:۵۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۹:۰۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۹:۰۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۲۹:۱۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۱:۳۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۱۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۲۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۲۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۲۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۳:۲۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۱۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۱۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۱۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۱۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۲۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۴:۳۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۴۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۴۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۵ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۶:۵۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۳۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۳۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۴۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۴۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۴۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۴۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۵۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۵۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۵۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۵۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۷:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۹:۵۲ | Error in onResponse hook: reply.getResponseTime is not a function
